year;month;area;uf;className;numPol
2015/2016;8.0;8.82;AC;CORTE_SELETIVO;3.0
2015/2016;8.0;9.71;AC;CS_DESORDENADO;1.0
2015/2016;8.0;4.11;AC;DEGRADACAO;18.0
2015/2016;8.0;25.12;AC;DESMATAMENTO_CR;261.0
2015/2016;8.0;1.81;AC;DESMATAMENTO_VEG;16.0
2015/2016;8.0;418.38;AM;CORTE_SELETIVO;51.0
2015/2016;8.0;24.85;AM;DEGRADACAO;67.0
2015/2016;8.0;73.61;AM;DESMATAMENTO_CR;488.0
2015/2016;8.0;3.28;AM;DESMATAMENTO_VEG;32.0
2015/2016;8.0;1.96;AM;MINERACAO;15.0
2015/2016;8.0;0.08;MA;CORTE_SELETIVO;1.0
2015/2016;8.0;7.55;MA;DEGRADACAO;12.0
2015/2016;8.0;5.34;MA;DESMATAMENTO_CR;29.0
2015/2016;8.0;0.59;MA;DESMATAMENTO_VEG;6.0
2015/2016;8.0;0.41;MT;CICATRIZ_DE_QUEIMADA;1.0
2015/2016;8.0;1555.66;MT;CORTE_SELETIVO;288.0
2015/2016;8.0;2765.14;MT;DEGRADACAO;964.0
2015/2016;8.0;133.48;MT;DESMATAMENTO_CR;574.0
2015/2016;8.0;7.73;MT;DESMATAMENTO_VEG;15.0
2015/2016;8.0;0.2;MT;MINERACAO;2.0
2015/2016;8.0;646.19;PA;CORTE_SELETIVO;142.0
2015/2016;8.0;300.08;PA;DEGRADACAO;412.0
2015/2016;8.0;206.37;PA;DESMATAMENTO_CR;1079.0
2015/2016;8.0;23.31;PA;DESMATAMENTO_VEG;127.0
2015/2016;8.0;11.86;PA;MINERACAO;101.0
2015/2016;8.0;220.82;RO;CORTE_SELETIVO;72.0
2015/2016;8.0;65.9;RO;DEGRADACAO;170.0
2015/2016;8.0;82.91;RO;DESMATAMENTO_CR;582.0
2015/2016;8.0;1.2;RO;DESMATAMENTO_VEG;10.0
2015/2016;8.0;0.11;RO;MINERACAO;1.0
2015/2016;8.0;20.66;RR;CORTE_SELETIVO;5.0
2015/2016;8.0;35.57;RR;DEGRADACAO;64.0
2015/2016;8.0;7.09;RR;DESMATAMENTO_CR;52.0
2015/2016;8.0;3.04;RR;DESMATAMENTO_VEG;20.0
2015/2016;8.0;5.15;TO;DEGRADACAO;3.0
2015/2016;8.0;2.62;TO;DESMATAMENTO_CR;12.0
2015/2016;8.0;0.41;TO;DESMATAMENTO_VEG;1.0
2015/2016;9.0;7.18;AC;CORTE_SELETIVO;4.0
2015/2016;9.0;13.24;AC;DEGRADACAO;45.0
2015/2016;9.0;22.31;AC;DESMATAMENTO_CR;227.0
2015/2016;9.0;0.07;AC;DESMATAMENTO_VEG;1.0
2015/2016;9.0;38.81;AM;CORTE_SELETIVO;35.0
2015/2016;9.0;31.35;AM;DEGRADACAO;109.0
2015/2016;9.0;64.87;AM;DESMATAMENTO_CR;441.0
2015/2016;9.0;0.82;AM;DESMATAMENTO_VEG;6.0
2015/2016;9.0;0.11;AM;MINERACAO;1.0
2015/2016;9.0;0.33;MA;CORTE_SELETIVO;2.0
2015/2016;9.0;39.86;MA;DEGRADACAO;34.0
2015/2016;9.0;3.84;MA;DESMATAMENTO_CR;22.0
2015/2016;9.0;888.09;MT;CORTE_SELETIVO;335.0
2015/2016;9.0;1813.83;MT;DEGRADACAO;1779.0
2015/2016;9.0;134.72;MT;DESMATAMENTO_CR;662.0
2015/2016;9.0;0.15;MT;DESMATAMENTO_VEG;1.0
2015/2016;9.0;0.27;MT;MINERACAO;3.0
2015/2016;9.0;0.11;PA;CICATRIZ_DE_QUEIMADA;1.0
2015/2016;9.0;90.97;PA;CORTE_SELETIVO;25.0
2015/2016;9.0;540.9;PA;DEGRADACAO;1227.0
2015/2016;9.0;167.63;PA;DESMATAMENTO_CR;970.0
2015/2016;9.0;1.68;PA;DESMATAMENTO_VEG;12.0
2015/2016;9.0;2.82;PA;MINERACAO;32.0
2015/2016;9.0;37.52;RO;CORTE_SELETIVO;37.0
2015/2016;9.0;87.72;RO;DEGRADACAO;181.0
2015/2016;9.0;77.39;RO;DESMATAMENTO_CR;499.0
2015/2016;9.0;2.02;RO;DESMATAMENTO_VEG;8.0
2015/2016;9.0;4.79;RR;CORTE_SELETIVO;2.0
2015/2016;9.0;159.85;RR;DEGRADACAO;186.0
2015/2016;9.0;12.07;RR;DESMATAMENTO_CR;99.0
2015/2016;9.0;2.44;RR;DESMATAMENTO_VEG;20.0
2015/2016;9.0;9.36;TO;CORTE_SELETIVO;1.0
2015/2016;9.0;141.29;TO;DEGRADACAO;7.0
