state;year;areakm
Acre;2007;19878.857580309334
Acre;2008;288.75877311500926
Acre;2009;161.73121515800136
Acre;2010;265.26301417302693
Acre;2011;295.55135702717547
Acre;2012;270.51384694527314
Acre;2013;200.24381297209942
Acre;2014;348.58877789209214
Acre;2015;222.85491037797317
Acre;2016;366.16579992972254
Acre;2017;245.6535654216865
Acre;2018;426.5859992105213
Acre;2019;706.879518323255
Acre;2020;660.7160176550713
Acre;2021;892.0548209601386
Acre;2022;1005.8639713278164
Acre;2023;462.9509539849309
Acre;2024;411.3486744757806
Amapá;2007;2761.2688405874983
Amapá;2008;99.91568043235611
Amapá;2009;47.459032798471505
Amapá;2010;72.23834870447367
Amapá;2011;16.615481319560423
Amapá;2012;19.44944948881669
Amapá;2013;24.236671940453288
Amapá;2014;29.120926612337563
Amapá;2015;19.109309711702025
Amapá;2016;12.413974139288053
Amapá;2017;17.268302027293768
Amapá;2018;24.566868503866395
Amapá;2019;39.061574927431735
Amapá;2020;10.344819848251563
Amapá;2021;16.08938473935107
Amapá;2022;14.071744402114586
Amapá;2023;15.744115725456606
Amapá;2024;29.420656197582492
Amazonas;2007;33013.224173402414
Amazonas;2008;612.1510131507226
Amazonas;2009;341.9425502219215
Amazonas;2010;545.1558089753407
Amazonas;2011;507.2775167596836
Amazonas;2012;470.76849471885663
Amazonas;2013;480.7928556751406
Amazonas;2014;552.1580506042517
Amazonas;2015;687.5735119642688
Amazonas;2016;1003.4882433302322
Amazonas;2017;1009.7283829700098
Amazonas;2018;1051.9317706560637
Amazonas;2019;1556.3649427014427
Amazonas;2020;1419.9418453409448
Amazonas;2021;2164.592418937397
Amazonas;2022;3047.6839167789904
Amazonas;2023;1309.5532196386266
Amazonas;2024;1110.4024717612926
Maranhão;2007;72949.93503147454
Maranhão;2008;725.0071851114301
Maranhão;2009;455.39027871792734
Maranhão;2010;245.17545700487204
Maranhão;2011;172.4539434476279
Maranhão;2012;113.10643007297051
Maranhão;2013;159.81835216489864
Maranhão;2014;142.94844476365594
Maranhão;2015;116.27330472827184
Maranhão;2016;131.79257966120397
Maranhão;2017;156.71434324959583
Maranhão;2018;99.11339000951712
Maranhão;2019;170.19806946310288
Maranhão;2020;233.80016764970637
Maranhão;2021;176.72824582911372
Maranhão;2022;144.33149630218324
Maranhão;2023;157.64932542654807
Maranhão;2024;161.77613208955304
Mato Grosso;2007;178692.10092692697
Mato Grosso;2008;3306.3588074587133
Mato Grosso;2009;779.6707735331584
Mato Grosso;2010;716.8982184597522
Mato Grosso;2011;1001.0212731419639
Mato Grosso;2012;748.421175851042
Mato Grosso;2013;1062.308952934235
Mato Grosso;2014;1042.1377026910513
Mato Grosso;2015;1436.6415282442483
Mato Grosso;2016;1370.5787453289252
Mato Grosso;2017;1346.5958305728516
Mato Grosso;2018;1415.7609672447359
Mato Grosso;2019;1826.4841189058586
Mato Grosso;2020;1777.5551387295238
Mato Grosso;2021;1920.4828887668928
Mato Grosso;2022;1981.3401343953951
Mato Grosso;2023;1905.1090040153329
Mato Grosso;2024;1275.4048351077447
Pará;2007;237310.9270538911
Pará;2008;5620.595738389247
Pará;2009;3554.9749480561395
Pará;2010;3312.15236111145
Pará;2011;2506.563761151444
Pará;2012;1696.868139424871
Pará;2013;2098.436349031482
Pará;2014;1794.412743397429
Pará;2015;2303.7959268417376
Pará;2016;2758.600126322383
Pará;2017;2570.7624594166746
Pará;2018;2603.271361891582
Pará;2019;4459.100934012571
Pará;2020;4617.208965911975
Pará;2021;5084.464374652083
Pará;2022;4528.021834861921
Pará;2023;2883.6140800218413
Pará;2024;2254.894927604119
Rondônia;2007;82541.42802278252
Rondônia;2008;1067.6754814609492
Rondônia;2009;420.00082129050173
Rondônia;2010;425.83352474792963
Rondônia;2011;761.9400613997228
Rondônia;2012;690.9910868597854
Rondônia;2013;961.6670501312911
Rondônia;2014;761.1038483943122
Rondônia;2015;958.6872394192955
Rondônia;2016;1192.7919329456106
Rondônia;2017;1276.8206437237613
Rondônia;2018;1205.826779505556
Rondônia;2019;1392.689673525609
Rondônia;2020;1304.3101315558267
Rondônia;2021;1641.7796025022574
Rondônia;2022;1448.4519508592768
Rondônia;2023;794.3330403526834
Rondônia;2024;377.59493827638516
Roraima;2007;8681.703659073866
Roraima;2008;665.1372165426831
Roraima;2009;111.24286785692487
Roraima;2010;234.7757368162755
Roraima;2011;129.62161972471876
Roraima;2012;107.39724757484086
Roraima;2013;148.41412190414948
Roraima;2014;189.04442268299744
Roraima;2015;154.29364699933473
Roraima;2016;228.4013607736946
Roraima;2017;121.88157655768428
Roraima;2018;126.64818892051959
Roraima;2019;542.66433523286
Roraima;2020;321.3304197654226
Roraima;2021;283.62327308255374
Roraima;2022;293.18354370427056
Roraima;2023;276.0093339974659
Roraima;2024;447.781195615001
Tocantins;2007;20831.465275344854
Tocantins;2008;55.19776777140765
Tocantins;2009;22.176171171407628
Tocantins;2010;27.45606232942911
Tocantins;2011;10.308602894409205
Tocantins;2012;9.644788289687465
Tocantins;2013;17.144990754715757
Tocantins;2014;11.821652758802767
Tocantins;2015;12.450436802484427
Tocantins;2016;14.929916967949865
Tocantins;2017;12.706612217284773
Tocantins;2018;4.76036740888011
Tocantins;2019;9.619698227947561
Tocantins;2020;10.115499499956178
Tocantins;2021;11.303198925499387
Tocantins;2022;16.442140129490355
Tocantins;2023;7.18545085081335
Tocantins;2024;7.2320433744363
